name,full_address,college_district,college_pincode,college_url
Abhayapuri College,"Abhayapuri, Bongaigaon",Bongaigaon,783384,http://www.abhayapuricollege.org/
Amguri College,"Amguri, Sivasagar",Sivasagar,785680,http://www.amguricollege.in/
Anandaram Dhekial Phookan College,"(ADP College), Nagaon",Nagaon,782002,http://adpcollege.ac.in/
Bagadhar Brahma Kishan College,"(BB Kishan College), Jalahghat",Jalahghat,781327,http://bbkishancollege.in/
Bahona  College,"Bahona, Jorhat",Jorhat,785101,http://bahonacollege.edu.in/
Bajali  College,"Pathsala Town, Barpeta",Barpeta,781325,http://www.bajalicollege.ac.in/
Bapujee  College,"Sarukshetri, Sarthebari",Sarthebari,781307,http://www.bapujeecollege.org/
Barama  College,"Barama, Baksa",Baksa,781346,http://baramacollege.ac.in/
Barbhag  College,"Kalag, Nalbari",Nalbari,781351,http://barbhagcollege.com/
Barnagar  College,"Sorbhog, Barpeta",Barpeta,781317,http://barnagarcollege.ac.in/
Barpeta  Road Howly College (BH College),"Howly, Barpeta",Barpeta,781316,http://www.bhcollege.in/
Bhawanipur  Anchalik College,"Bhawanipur, Barpeta",Barpeta,781352,http://bacollege.in/
Bhawanipur  Hastinapur Bijni College (BHB College),"Sarupeta, Barpeta",Barpeta,781318,http://www.bhbcollege.com/
Bholanath  Borooah College,"(B Barooah College), Guwahati",Guwahati,781007,http://www.bborooahcollege.co.in/
Bholanath  College,"(BN College), College Road",College Road,783324,http://bncollege.org.in/
Bihpuria  College,"Bihpuria, Lakhimpur",Lakhimpur,784161,http://www.bihpuriacollege.edu.in/
Bijni  College,"Bijni, Chirang",Chirang,783390,http://www.bijnicollege.ac.in/
Bikali  College,"Dhupdhara, Goalpara",Goalpara,783123,http://www.bikalicollege.org/
Bilasipara  College,"Bilasipara, Dhubri",Dhubri,783348,http://bilasiparacollege.in
Bimala  Prasad Chaliha College,"(BP Chaliha College), Nagarbera",Nagarbera,781127,http://www.bpchalihacollege.org/
Biswanath  College,"Biswanath-Chariali, Sonitpur",Sonitpur,784176,http://www.biswanathcollege.in/
Cachar College,"Silchar, Cachar",Cachar,788001,http://www.cacharcollege.ac.in/
Chaiduar  College,"Gohpur, Sonitpur",Sonitpur,784168,http://www.chaiduarcollege.org/
Chandra  Kamal Bezbaruah College,"(CKB College, Teok)",Teok),785112,http://www.ckbcollegeteok.com/
Chandra  Kamal Bezbaruah Commerce College,"(CKB Commerce College), Jorhat",Jorhat,785001,http://www.ckbcc.org/
Chilarai  College,"Golakganj, Dhubri",Dhubri,783334,http://www.chilaraicollege.co.in/
Dakha  Devi Rachwachia College,"(DDR College), Chabua",Chabua,786184,http://www.ddrcollege.in/
Darrang College,"Tezpur, Sonitpur",Sonitpur,784001,http://www.darrangcollege.in/
Dakshin Kamrup Girls' College,"Mirza, Kamrup (Rural)",Kamrup (Rural),781125,http://www.dkgirlscollege.org/
Demow College,"Demow, Sivasagar",Sivasagar,785662,http://www.demowcollege.org/
Dergaon Kamal Dowerah College,"(DKD College), Dergaon",Dergaon,785614,http://www.dkdcollege.ac.in/
Devi Charan Barua Girls' College,"(DCB Girls’ College), Jorhat",Jorhat,785001,http://www.dcbgirlscollegejorhat.org/
Dhakuakhana College,"Dhakuakhana, Lakhimpur",Lakhimpur,787055,http://www.dhakuakhanacollege.org/
Dhing College,"Dhing, Nagaon",Nagaon,782123,http://www.dhingcollege.in/
Dibrugarh Hanumanbux Surajmal Kanoi College,"(DHSK College), KC Gogoi Path",KC Gogoi Path,786001,http://dhsk.org/
Dibrugarh Hanumanbux Surajmal Kanoi Commerce College,"(DHSK  Commerce College), Dibrugarh",Dibrugarh,786001,http://dhskcommercecollege.edu.in/
Digboi College,"Digboi, Tinsukia",Tinsukia,786171,http://www.digboicollege.com/
Digboi Mahila Mahavidyalaya,"Digboi, Tinsukia",Tinsukia,786171,http://www.digboimahilamahavidyalaya.com/
Dikhowmukh College,"Moglow, Gaurisagar",Gaurisagar,785664,http://www.dikhowmukhcollege.edu.in/
Dimoria College,"Khetri, Kamrup (Metro)",Kamrup (Metro),782403,http://www.dimoriacollege.org/
Doom Dooma College,"Rupai Siding, Tinsukia",Tinsukia,786153,http://doomdoomacollege.com/
Dr. Birinchi Kumar Barooah College,"(BKB College), Puranigudam",Puranigudam,782141,http://www.bkbcollege.in/
Dudhnoi College,"Dudhnoi, Goalpara",Goalpara,783124,http://www.dudhnoicollege.net/
Duliajan College,"Duliajan, Dibrugarh",Dibrugarh,786602,http://duliajancollege.edu.in/
Furkating College,"Furkating, Golaghat",Golaghat,785610,http://furkatingcollege.edu.in/
Gargaon College,"Simaluguri, Gargaon",Gargaon,785685,http://www.gargaoncollege.org/
Gauhati Commerce College,"R.G. Barooah Road, Guwahati",Guwahati,781021,http://www.gauhaticommercecollege.in/
Gogamukh College,"Gogamukh, Dhemaji",Dhemaji,787034,http://www.gogamukhcollege.net/
Goreswar College,"Goreswar, Baksa",Baksa,781361,http://www.goreswarcollege.in/
Gossaigaon College,"Gossaigaon, Kokrajhar",Kokrajhar,783360,http://www.gossaigaoncollege.org/
Guru Charan College,"(GC College), Silchar",Silchar,781004,http://gurucharancollege.ac.in/
Guwahati College,"Bamunimaidan, Guwahati",Guwahati,781021,http://www.guwahaticollege.org.in/
Habraghat College (known as HABRAGHAT MAHAVIDYALAYA),"Krishnai, Goalpara",Goalpara,783126,http://www.habraghatcollege.in/
Haji Anfar Ali College,"Daboka, Nagaon",Nagaon,782440,http://haacdaboka.org.in/
Hem Chandra Dev Goswami College,"(HCDG College), Nitaipukhuri",Nitaipukhuri,785671,http://hcdgcollege.org/
Hojai College,"Hojai, Nagaon",Nagaon,782435,http://www.hojaicollege.edu.in/
Jagannath Barooah College,"(JB College), Jorhat",Jorhat,785001,http://www.jbcollege.org.in/
Jagiroad College,"Jagiroad, Morigaon",Morigaon,782410,http://www.jagiroadcollege.co.in/
Janata College,"Kabuganj, Cachar",Cachar,788121,http://www.janatacollege.in/
Janata College,"Sefranguri, Kokrajhar",Kokrajhar,783346,http://www.janatacollege.org/
Jawaharlal Nehru College,"Boko, Kamrup",Kamrup,781123,http://www.jncollegeboko.com/
Jhanji HemNath Sarmah College,"(Jhanji College), Jhanji",Jhanji,785683,http://www.jhanjihnscollege.edu.in/
Jengraimukh College,"Jengraimukh, Majuli",Majuli,785105,http://jengraimukhcollege.org/
Joganada Deva Satradhikar Goswami College,"(JDSG College), Bokakhat",Bokakhat,785612,http://www.jdsgcollege.edu.in/
Jorhat College (Amalgamated),"Mahatma Gandhi Road, Jorhat",Jorhat,785001,http://www.jorhatcollege.in/
Jorhat Kendriya Mahavidyalay,"Kenduguri, Jorhat",Jorhat,785010,http://www.jorhatkendriyamahavidyalaya.edu.in/
Kakojan College,"Kakojan, Jorhat",Jorhat,785107,http://www.kakojancollege.in
Kaliabor College,"Kuwaritol, Nagaon",Nagaon,782137,http://www.kaliaborcollege.org/
Kamakhya Ram Borooah Girls' College,"(KRB Girls' College), Bharalumukh",Bharalumukh,781009,http://krbgirlscollege.com/
Kamargaon College,"Kamargaon, Golaghat",Golaghat,785619,http://www.kamargaoncollege.co.in/
Kampur College,"Kampur, Nagaon",Nagaon,782426,http://kampurcollege.org.in/
Kamrup College,"Chamata, Nalbari",Nalbari,781306,http://www.kamrupcollege.org.in/
